@RELATION credit

@ATTRIBUTE checking_status {<0, 0<=X<200, >=200, "no checking"}
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE credit_history {"no credits/all paid", "all paid", "existing paid", "delayed previously", "critical/other existing credit"}
@ATTRIBUTE purpose {"new car", "used car", furniture/equipment, radio/tv, "domestic appliance", repairs, education, vacation, retraining, business, other}
@ATTRIBUTE credit_amount NUMERIC
@ATTRIBUTE savings_status NUMERIC
@ATTRIBUTE employment {unemployed, <1, 1<=X<4, 4<=X<7, >=7}
@ATTRIBUTE installment_commitment NUMERIC
@ATTRIBUTE personal_status {"male div/sep", "female div/dep/mar", "male single", "male mar/wid", "female single"}
@ATTRIBUTE other_parties {none, "co applicant", guarantor}
@ATTRIBUTE residence_since NUMERIC
@ATTRIBUTE property_magnitude {"real estate", "life insurance", car, "no known property"}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE other_payment_plans {bank, stores, none}
@ATTRIBUTE housing {rent, own, "for free"}
@ATTRIBUTE existing_credits NUMERIC
@ATTRIBUTE job {"unemp/unskilled non res", "unskilled resident", skilled, "high qualif/self emp/mgmt"}
@ATTRIBUTE num_dependents NUMERIC
@ATTRIBUTE own_telephone {none, yes}
@ATTRIBUTE foreign_worker {yes, no}
@ATTRIBUTE class {good, bad}

@DATA
'no checking',36.0,'existing paid',education,9055.0,?,1<=X<4,2.0,'male single',none,4.0,'no known property',35.0,none,'for free',1.0,'unskilled resident',2.0,yes,yes,good
'no checking',24.0,'existing paid',furniture/equipment,2835.0,984,>=7,3.0,'male single',none,4.0,'life insurance',53.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',12.0,'existing paid',radio/tv,3059.0,1010.12613942,4<=X<7,2.0,'male div/sep',none,4.0,'real estate',61.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,30.0,'critical/other existing credit','new car',5234.0,94,unemployed,4.0,'male mar/wid',none,2.0,car,28.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,yes,bad
0<=X<200,12.0,'existing paid','new car',1295.0,6,<1,3.0,'female div/dep/mar',none,1.0,car,25.0,none,rent,1.0,skilled,1.0,none,yes,bad
0<=X<200,12.0,'existing paid',radio/tv,1567.0,71,1<=X<4,1.0,'female div/dep/mar',none,1.0,car,22.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,'critical/other existing credit','new car',1199.0,8,>=7,4.0,'male single',none,4.0,car,60.0,none,own,2.0,'unskilled resident',1.0,none,yes,bad
<0,15.0,'existing paid','new car',1403.0,37,1<=X<4,2.0,'female div/dep/mar',none,4.0,car,28.0,none,rent,1.0,skilled,1.0,none,yes,good
<0,24.0,'existing paid',radio/tv,1282.0,204,1<=X<4,4.0,'female div/dep/mar',none,2.0,car,32.0,none,own,1.0,'unskilled resident',1.0,none,yes,bad
'no checking',24.0,'critical/other existing credit',radio/tv,2424.0,?,>=7,4.0,'male single',none,4.0,'life insurance',53.0,none,own,2.0,skilled,1.0,none,yes,good
